...1,Authors (Year),ID,Site,Lat,Long,Management_(OA_MPA_MEARB_Other),Temporal_Scale,Mean kelp,Mean no Kelp,Mean + one error bar Kelp,Mean + one error bar no Kelp,Error Kelp,Error no-Kelp,Error Type,Variable,N (Kelp),N (no-kelp),Unit Dimensions,Area (m2),Notes on Type of study,Comments,Kelp Taxon,Clearing Size (m^2),Time Until Resampling (days),Mean Depth (m),Inferred Mechanism of Clearing (experiment_storm_heat wave_barren_kelp addition),Type of Study (Experimental_ObservatioNAl),"Observational Study Type (Spatial, Temporal)",Single Species? (yes/no),Total Abundance? (yes/no),Species Richness? (yes/no),Biomass? (yes/no),Clearing Response (algae_barren_kelp),"Survey Type (quadrat, transect, video, photo, Net/Trap)",Short Variable Description,Latititude in Decimal Degrees,Longitude in Decimal Degrees,"Juvenile, Adult, Both",sample unit area (m^2),Total Area Sampled per Treatment (m^2: n*replicate area),Mean kelp t0,Mean no Kelp t0,Mean + one error bar Kelp t0,Mean + one error bar no Kelp t0,Error Kelp t0,Error no-Kelp t0,Error Type t0,Date of t0 (dd/mm/yyyy),Fish Species,Order,Family,Trophic level,Trophic group,Total Lenght (cm),Biomass (gr),Habitat Association (Benthic-Pelagic-Demersal)
1,Anderson and Millar (2004),1,Bergham,-34.91666667,174.5333333,OA,2 Years,184.78,228.67,231.35,302.65,46.57,73.98,SE,Mean Fish Abundance Year 1,10,10,5x25 m,125,Ecklonia radiata vs Urchin Barrens (Evechinus chloroticus),Sampling was conducted outside Marine Reserves Figures 5 a and b,Ecklonia radiata,NA,NA,10,NA,Observational,Spatial,no,yes,no,no,no,transect,Fish abundance,-34.91666667,174.5333333,Both,125,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Anderson and Millar (2004),1,Home,-34.91666667,174.5333333,OA,2 Years,246.25,332.6,280.5,403.85,34.25,71.25,SE,Mean Fish Abundance Year 1,10,10,5x25 m,125,Ecklonia radiata vs Urchin Barrens (Evechinus chloroticus),Sampling was conducted outside Marine Reserves Figures 5 a and b,Ecklonia radiata,NA,NA,10,NA,Observational,Spatial,no,yes,no,no,no,transect,Fish abundance,-34.91666667,174.5333333,Both,125,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Anderson and Millar (2004),1,Leigh,-34.91666667,174.5333333,OA,2 Years,51.55,70.78,57.02,98.19,5.47,27.41,SE,Mean Fish Abundance Year 1,10,10,5x25 m,125,Ecklonia radiata vs Urchin Barrens (Evechinus chloroticus),Sampling was conducted outside Marine Reserves Figures 5 a and b,Ecklonia radiata,NA,NA,10,NA,Observational,Spatial,no,yes,no,no,no,transect,Fish abundance,-34.91666667,174.5333333,Both,125,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Anderson and Millar (2004),1,Hahei,-34.91666667,174.5333333,OA,2 Years,159.59,110.35,244.52,135,84.93,24.65,SE,Mean Fish Abundance Year 1,10,10,5x25 m,125,Ecklonia radiata vs Urchin Barrens (Evechinus chloroticus),Sampling was conducted outside Marine Reserves Figures 5 a and b,Ecklonia radiata,NA,NA,10,NA,Observational,Spatial,no,yes,no,no,no,transect,Fish abundance,-34.91666667,174.5333333,Both,125,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Anderson and Millar (2004),1,Bergham,-34.91666667,174.5333333,OA,2 Years,453.87,274.47,544.29,410.09,90.42,135.62,SE,Mean Fish Abundance Year 2,10,10,5x25 m,125,Ecklonia radiata vs Urchin Barrens (Evechinus chloroticus),Sampling was conducted outside Marine Reserves Figures 5 a and b,Ecklonia radiata,NA,NA,10,NA,Observational,Spatial,no,yes,no,no,no,transect,Fish abundance,-34.91666667,174.5333333,Both,125,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Anderson and Millar (2004),1,Home,-34.91666667,174.5333333,OA,2 Years,296.15,267.45,318.08,378.41,21.93,110.96,SE,Mean Fish Abundance Year 2,10,10,5x25 m,125,Ecklonia radiata vs Urchin Barrens (Evechinus chloroticus),Sampling was conducted outside Marine Reserves Figures 5 a and b,Ecklonia radiata,NA,NA,10,NA,Observational,Spatial,no,yes,no,no,no,transect,Fish abundance,-34.91666667,174.5333333,Both,125,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Anderson and Millar (2004),1,Leigh,-34.91666667,174.5333333,OA,2 Years,83.65,215.22,116.53,263.17,32.88,47.95,SE,Mean Fish Abundance Year 2,10,10,5x25 m,125,Ecklonia radiata vs Urchin Barrens (Evechinus chloroticus),Sampling was conducted outside Marine Reserves Figures 5 a and b,Ecklonia radiata,NA,NA,10,NA,Observational,Spatial,no,yes,no,no,no,transect,Fish abundance,-34.91666667,174.5333333,Both,125,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Anderson and Millar (2004),1,Hahei,-34.91666667,174.5333333,OA,2 Years,213.61,167.1,372.51,189.02,158.9,21.92,SE,Mean Fish Abundance Year 2,10,10,5x25 m,125,Ecklonia radiata vs Urchin Barrens (Evechinus chloroticus),Sampling was conducted outside Marine Reserves Figures 5 a and b,Ecklonia radiata,NA,NA,10,NA,Observational,Spatial,no,yes,no,no,no,transect,Fish abundance,-34.91666667,174.5333333,Both,125,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Anderson and Millar (2004),1,Bergham,-34.91666667,174.5333333,OA,2 Years,10.48,11.71,11.62,12.85,1.14,1.14,SE,Mean Fish Species Richness Year 1,10,10,5x25 m,125,Ecklonia radiata vs Urchin Barrens (Evechinus chloroticus),Sampling was conducted outside Marine Reserves Figures 5 a and b,Ecklonia radiata,NA,NA,10,NA,Observational,Spatial,no,no,yes,no,no,transect,Species Richness,-34.91666667,174.5333333,Both,125,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Anderson and Millar (2004),1,Home,-34.91666667,174.5333333,OA,2 Years,14.79,14.25,15.65,15.96,0.86,1.71,SE,Mean Fish Species Richness Year 1,10,10,5x25 m,125,Ecklonia radiata vs Urchin Barrens (Evechinus chloroticus),Sampling was conducted outside Marine Reserves Figures 5 a and b,Ecklonia radiata,NA,NA,10,NA,Observational,Spatial,no,no,yes,no,no,transect,Species Richness,-34.91666667,174.5333333,Both,125,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
