"Kelp.Taxon","X","Authors..Year.","ID","Site","Lat","Long","Management_.OA_MPA_MEARB_Other.","Temporal_Scale","Mean.kelp","Mean.no.Kelp","Mean...one.error.bar.Kelp","Mean...one.error.bar.no.Kelp","Error.Kelp","Error.no.Kelp","Error.Type","Variable","N..Kelp.","N..no.kelp.","Unit.Dimensions","Area..m2.","Notes.on.Type.of.study","Comments","Clearing.Size..m.2.","Time.Until.Resampling..days.","Mean.Depth..m.","Inferred.Mechanism.of.Clearing..experiment_storm_heat.wave_barren_kelp.addition.","Type.of.Study..Experimental_ObservatioNAl.","Observational.Study.Type..Spatial..Temporal.","Single.Species...yes.no.","Total.Abundance...yes.no.","Species.Richness...yes.no.","Biomass...yes.no.","Clearing.Response..algae_barren_kelp.","Survey.Type..quadrat..transect..video..photo..Net.Trap.","Short.Variable.Description","Latititude.in.Decimal.Degrees","Longitude.in.Decimal.Degrees","Juvenile..Adult..Both","sample.unit.area..m.2.","Total.Area.Sampled.per.Treatment..m.2..n.replicate.area.","Mean.kelp.t0","Mean.no.Kelp.t0","Mean...one.error.bar.Kelp.t0","Mean...one.error.bar.no.Kelp.t0","Error.Kelp.t0","Error.no.Kelp.t0","Error.Type.t0","Date.of.t0..dd.mm.yyyy.","Fish.Species","Order","Family","Trophic.level","Trophic.group","Total.Lenght..cm.","Biomass..gr.","Habitat.Association..Benthic.Pelagic.Demersal.","sd_kelp","sd_nokelp","rawLR","LR","VLR","Hedges.G","VHedges.G","Patch","Height..m.","Single.or.Multi.Stipe","Erect.or.Prostrate","Epibiont.Load.Potential","Comment","len","ECOREGION","PROVINCE","REALM"
"Macrocystis pyrifera",1200,"DeMartini et al. (1989)","65","Offshore of San Diego Country, California US",33.317,-117.517,"","November 1986 to January 1987",15.7,0,22.38,0,6.68,0,"SE","Density (ind/1000 m3) Atherinops affinis",NA,NA,NA,"650","Contrasting fish density at an artificial rock reef and a cobble-bottom kelp forest","Table 2",NA,NA,1,NA,"Observational","Spatial","yes","no","no","yes","no","Transect and video","Density (fish/m3) of 24 fishes specie",33.317,-117.517,"Both",650,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atherinops affinis","Atheriniformes","Atherinopsidae","2,8","Planktivore","37",NA,"Pelagic SA-Neritic",NA,NA,2.81540871942271,2.81540871942271,NA,NA,NA,"Single","30","Multi","Erect","High",NA,25,"Southern California Bight","Warm Temperate Northeast Pacific","Temperate Northern Pacific"
"Macrocystis pyrifera",1205,"DeMartini et al. (1989)","65","Offshore of San Diego Country, California US",33.317,-117.517,"","November 1986 to January 1987",0,2.2,0,2.53,0,0.33,"SE","Density (ind/1000 m3) Girella nigricans",NA,NA,NA,"650","Contrasting fish density at an artificial rock reef and a cobble-bottom kelp forest","Table 2",NA,NA,1,NA,"Observational","Spatial","yes","no","no","yes","no","Transect and video","Density (fish/m3) of 24 fishes specie",33.317,-117.517,"Both",650,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Girella nigricans","Centrarchiformes","Girellidae ","2","Omnivore","66",NA,"Demersal",NA,NA,-1.16315080980568,-1.16315080980568,NA,NA,NA,"Single","30","Multi","Erect","High",NA,25,"Southern California Bight","Warm Temperate Northeast Pacific","Temperate Northern Pacific"
"Macrocystis pyrifera",1204,"DeMartini et al. (1989)","65","Offshore of San Diego Country, California US",33.317,-117.517,"","November 1986 to January 1987",2.6,30.2,3.04,35.4,0.44,5.2,"SE","Density (ind/1000 m3) Embiotoca jacksoni",NA,NA,NA,"650","Contrasting fish density at an artificial rock reef and a cobble-bottom kelp forest","Table 2",NA,NA,1,NA,"Observational","Spatial","yes","no","no","yes","no","Transect and video","Density (fish/m3) of 24 fishes specie",33.317,-117.517,"Both",650,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Embiotoca jacksoni","Ovalentaria","Embiotocidae","3,31","Invertivore","39","700","Demersal",NA,NA,-2.15948424935337,-2.15948424935337,NA,NA,NA,"Single","30","Multi","Erect","High",NA,25,"Southern California Bight","Warm Temperate Northeast Pacific","Temperate Northern Pacific"
"Macrocystis pyrifera",1203,"DeMartini et al. (1989)","65","Offshore of San Diego Country, California US",33.317,-117.517,"","November 1986 to January 1987",0.06,963.9,0.09,1244,0.03,280.1,"SE","Density (ind/1000 m3) Chromis punctipinnis",NA,NA,NA,"650","Contrasting fish density at an artificial rock reef and a cobble-bottom kelp forest","Table 2",NA,NA,1,NA,"Observational","Spatial","yes","no","no","yes","no","Transect and video","Density (fish/m3) of 24 fishes specie",33.317,-117.517,"Both",650,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chromis punctipinnis","Ovalentaria","Pomacentridae","2,73","Planktivore","25",NA,"Demersal",NA,NA,-6.81375556090236,-6.81375556090236,NA,NA,NA,"Single","30","Multi","Erect","High",NA,25,"Southern California Bight","Warm Temperate Northeast Pacific","Temperate Northern Pacific"
"Macrocystis pyrifera",1207,"DeMartini et al. (1989)","65","Offshore of San Diego Country, California US",33.317,-117.517,"","November 1986 to January 1987",0.2,0,0.25,0,0.05,0,"SE","Density (ind/1000 m3) Heterostichus rostratus",NA,NA,NA,"650","Contrasting fish density at an artificial rock reef and a cobble-bottom kelp forest","Table 2",NA,NA,1,NA,"Observational","Spatial","yes","no","no","yes","no","Transect and video","Density (fish/m3) of 24 fishes specie",33.317,-117.517,"Both",650,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Heterostichus rostratus","Blenniiformes","Clinidae","3,9","Carnivore","61",NA,"Demersal",NA,NA,0.182321556793955,0.182321556793955,NA,NA,NA,"Single","30","Multi","Erect","High",NA,25,"Southern California Bight","Warm Temperate Northeast Pacific","Temperate Northern Pacific"
"Macrocystis pyrifera",1208,"DeMartini et al. (1989)","65","Offshore of San Diego Country, California US",33.317,-117.517,"","November 1986 to January 1987",0.3,0,0.46,0,0.16,0,"SE","Density (ind/1000 m3) Hypsurus caryi",NA,NA,NA,"650","Contrasting fish density at an artificial rock reef and a cobble-bottom kelp forest","Table 2",NA,NA,1,NA,"Observational","Spatial","yes","no","no","yes","no","Transect and video","Density (fish/m3) of 24 fishes specie",33.317,-117.517,"Both",650,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hypsurus caryi","Ovalentaria","Embiotocidae","3,3","Invertivore","30",NA,"Demersal",NA,NA,0.262364264467491,0.262364264467491,NA,NA,NA,"Single","30","Multi","Erect","High",NA,25,"Southern California Bight","Warm Temperate Northeast Pacific","Temperate Northern Pacific"
"Macrocystis pyrifera",1199,"DeMartini et al. (1989)","65","Offshore of San Diego Country, California US",33.317,-117.517,"","November 1986 to January 1987",0,14,0,21.29,NA,7.29,"SE","Density (ind/1000 m3) Anisotremus davidsonii",NA,NA,NA,"650","Contrasting fish density at an artificial rock reef and a cobble-bottom kelp forest","Table 2",NA,NA,1,NA,"Observational","Spatial","yes","no","no","yes","no","Transect and video","Density (fish/m3) of 24 fishes specie",33.317,-117.517,"Both",650,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anisotremus davidsonii","Eupercaria","Haemulidae","3,5","Carnivore","58",NA,"Demersal",NA,NA,-2.70805020110221,-2.70805020110221,NA,NA,NA,"Single","30","Multi","Erect","High",NA,25,"Southern California Bight","Warm Temperate Northeast Pacific","Temperate Northern Pacific"
"Macrocystis pyrifera",1202,"DeMartini et al. (1989)","65","Offshore of San Diego Country, California US",33.317,-117.517,"","November 1986 to January 1987",0,15,0,22.39,0,7.39,"SE","Density (ind/1000 m3) Cheilotrema saturnum",NA,NA,NA,"650","Contrasting fish density at an artificial rock reef and a cobble-bottom kelp forest","Table 2",NA,NA,1,NA,"Observational","Spatial","yes","no","no","yes","no","Transect and video","Density (fish/m3) of 24 fishes specie",33.317,-117.517,"Both",650,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cheilotrema saturnum","Eupercaria","Sciaenidae","3,6","Carnivore","45","700","Demersal",NA,NA,-2.77258872223978,-2.77258872223978,NA,NA,NA,"Single","30","Multi","Erect","High",NA,25,"Southern California Bight","Warm Temperate Northeast Pacific","Temperate Northern Pacific"
"Macrocystis pyrifera",1213,"DeMartini et al. (1989)","65","Offshore of San Diego Country, California US",33.317,-117.517,"","November 1986 to January 1987",5.2,3.4,6.12,5.82,0.92,2.42,"SE","Density (ind/1000 m3) Paralabrax nebullfer",NA,NA,NA,"650","Contrasting fish density at an artificial rock reef and a cobble-bottom kelp forest","Table 2",NA,NA,1,NA,"Observational","Spatial","yes","no","no","yes","no","Transect and video","Density (fish/m3) of 24 fishes specie",33.317,-117.517,"Both",650,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paralabrax nebulifer ","Perciformes","Serranidae","3,5","Carnivore","67","600","Reef Associated",NA,NA,0.34294475112683,0.34294475112683,NA,NA,NA,"Single","30","Multi","Erect","High",NA,25,"Southern California Bight","Warm Temperate Northeast Pacific","Temperate Northern Pacific"
"Macrocystis pyrifera",1215,"DeMartini et al. (1989)","65","Offshore of San Diego Country, California US",33.317,-117.517,"","November 1986 to January 1987",0.08,0.5,0.13,0.64,0.05,0.14,"SE","Density (ind/1000 m3) Rhacochilus toxotes",NA,NA,NA,"650","Contrasting fish density at an artificial rock reef and a cobble-bottom kelp forest","Table 2",NA,NA,1,NA,"Observational","Spatial","yes","no","no","yes","no","Transect and video","Density (fish/m3) of 24 fishes specie",33.317,-117.517,"Both",650,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhacochilus toxotes","Ovalentaria","Embiotocidae","3,4","Invertivore","47",NA,"Demersal",NA,NA,-0.328504066972036,-0.328504066972036,NA,NA,NA,"Single","30","Multi","Erect","High",NA,25,"Southern California Bight","Warm Temperate Northeast Pacific","Temperate Northern Pacific"
