"Kelp.Taxon","X","Authors..Year.","ID","Site","Lat","Long","Management_.OA_MPA_MEARB_Other.","Temporal_Scale","Mean.kelp","Mean.no.Kelp","Mean...one.error.bar.Kelp","Mean...one.error.bar.no.Kelp","Error.Kelp","Error.no.Kelp","Error.Type","Variable","N..Kelp.","N..no.kelp.","Unit.Dimensions","Area..m2.","Notes.on.Type.of.study","Comments","Clearing.Size..m.2.","Time.Until.Resampling..days.","Mean.Depth..m.","Inferred.Mechanism.of.Clearing..experiment_storm_heat.wave_barren_kelp.addition.","Type.of.Study..Experimental_ObservatioNAl.","Observational.Study.Type..Spatial..Temporal.","Single.Species...yes.no.","Total.Abundance...yes.no.","Species.Richness...yes.no.","Biomass...yes.no.","Clearing.Response..algae_barren_kelp.","Survey.Type..quadrat..transect..video..photo..Net.Trap.","Short.Variable.Description","Latititude.in.Decimal.Degrees","Longitude.in.Decimal.Degrees","Juvenile..Adult..Both","sample.unit.area..m.2.","Total.Area.Sampled.per.Treatment..m.2..n.replicate.area.","Mean.kelp.t0","Mean.no.Kelp.t0","Mean...one.error.bar.Kelp.t0","Mean...one.error.bar.no.Kelp.t0","Error.Kelp.t0","Error.no.Kelp.t0","Error.Type.t0","Date.of.t0..dd.mm.yyyy.","Fish.Species","Order","Family","Trophic.level","Trophic.group","Total.Lenght..cm.","Biomass..gr.","Habitat.Association..Benthic.Pelagic.Demersal.","sd_kelp","sd_nokelp","rawLR","LR","VLR","Hedges.G","VHedges.G","Patch","Height..m.","Single.or.Multi.Stipe","Erect.or.Prostrate","Epibiont.Load.Potential","Comment","len","ECOREGION","PROVINCE","REALM"
"Agarum cribosum, Saccharina latissima",1371,"Dean et al. (2000)","","Prince William Sound, south central Alaska",60.5,-147.5,"OA","1 month, 1990",25.8313253,10.60240964,70.1686747,25.25301205,44.34,14.65,"SE","Prickelbacks fish density (Nº ind./100m2) . Geometric mean and standard error.",6,6,"30*2*3","60","Fish density spatial comparison between 2 sited with different kelp densities.","Fig. 3. Comparison of geometric mean fish density between sites",NA,NA,NA,NA,"Observational","Spatial","yes","no","no","no","na","Transect","Fish density (Nº ind./100m^2)",60.5,-147.5,"Both",60,720,"na","na","na","na","na","na","na","na","Stichaeus punctatus","Perciformes","Stichaeidae","3,1","Carnivore","22","na","Demersal",108.610375195006,35.8850247317736,0.838357255289728,0.838357255289728,4.32524072387853,0.173738693542795,0.334591047234748,"Mixed","1.50","Single","Prostrate","Low","",8,"Gulf of Alaska","Cold Temperate Northeast Pacific","Temperate Northern Pacific"
"Agarum cribosum, Saccharina latissima",1372,"Dean et al. (2000)","","Prince William Sound, south central Alaska",60.5,-147.5,"OA","1 month, 1990",1.38,0.2,3.48,0.48,2.1,0.28,"SE","Rockfishes fish density (Nº ind./100m2) . Geometric mean and standard error.",6,6,"30*2*4","60","Fish density spatial comparison between 2 sited with different kelp densities.","Fig. 3. Comparison of geometric mean fish density between sites",NA,NA,NA,NA,"Observational","Spatial","yes","no","no","no","na","Transect","Fish density (Nº ind./100m^2)",60.5,-147.5,"Both",60,720,"na","na","na","na","na","na","na","na","Sebastes spp.","Perciformes","Sebastidae","3,75","Carnivore","55,5","na","Demersal",5.14392845984467,0.68585712797929,0.684778930889429,0.684778930889429,0.832991157247213,0.296727358102901,0.337001963543614,"Mixed","1.50","Single","Prostrate","Low","",8,"Gulf of Alaska","Cold Temperate Northeast Pacific","Temperate Northern Pacific"
"Agarum cribosum, Saccharina latissima",1373,"Dean et al. (2000)","","Prince William Sound, south central Alaska",60.5,-147.5,"OA","1 month, 1990",3.716381418,0.195599022,12.51833741,0.782396088,8.8,0.59,"SE","Juvenile Pacific Cod fish density (Nº ind./100m2) . Geometric mean and standard error.",6,6,"30*2*5","60","Fish density spatial comparison between 2 sited with different kelp densities.","Fig. 3. Comparison of geometric mean fish density between sites",NA,NA,NA,NA,"Observational","Spatial","yes","no","no","no","na","Transect","Fish density (Nº ind./100m^2)",60.5,-147.5,"Both",60,720,"na","na","na","na","na","na","na","na","Gadus macrocephalus","Gadiformes","Gadidae","4,2","Carnivore","119","na","Demersal",21.555509736492,1.44519894824207,1.37239452341525,1.37239452341525,3.72486757564153,0.212668888655449,0.335217835675081,"Mixed","1.50","Single","Prostrate","Low","",8,"Gulf of Alaska","Cold Temperate Northeast Pacific","Temperate Northern Pacific"
"Agarum cribosum, Saccharina latissima",1374,"Dean et al. (2000)","","Prince William Sound, south central Alaska",60.5,-147.5,"OA","1 month, 1990",24.58333333,6.527777778,54.16666667,15.27777778,29.58,8.75,"SE","Sculpins fish density (Nº ind./100m2) . Geometric mean and standard error.",6,6,"30*2*6","60","Fish density spatial comparison between 2 sited with different kelp densities.","Fig. 3. Comparison of geometric mean fish density between sites",NA,NA,NA,NA,"Observational","Spatial","yes","no","no","no","na","Transect","Fish density (Nº ind./100m^2)",60.5,-147.5,"Both",60,720,"na","na","na","na","na","na","na","na","Hemilepidotus hemilepidotus, Myoxocephalus polyacanthocephalus, Blepsias cirrhosus, Rhamphocottus richardsoni
","Scorpaeniformes","Cottidae","3,5","Carnivore","39,975","na","Demersal",72.4559065915264,21.4330352493528,1.22334121521579,1.22334121521579,2.68793269762042,0.311830751603691,0.337384934068572,"Mixed","1.50","Single","Prostrate","Low","",8,"Gulf of Alaska","Cold Temperate Northeast Pacific","Temperate Northern Pacific"
"Agarum cribosum, Saccharina latissima",1375,"Dean et al. (2000)","","Prince William Sound, south central Alaska",60.5,-147.5,"OA","1 month, 1990",2.690909091,0.181818182,6.181818182,0.654545455,3.49,0.47,"SE","Greenlings fish density (Nº ind./100m2) . Geometric mean and standard error.",6,6,"30*2*7","60","Fish density spatial comparison between 2 sited with different kelp densities.","Fig. 3. Comparison of geometric mean fish density between sites",NA,NA,NA,NA,"Observational","Spatial","yes","no","no","no","na","Transect","Fish density (Nº ind./100m^2)",60.5,-147.5,"Both",60,720,"na","na","na","na","na","na","na","na","Hexagrammos sp, Ophiodon elongatus","Scorpaeniformes","Hexagrammidae","3,72","Carnivore","72,8","na","Demersal",8.54871920231329,1.15126017910809,1.13881870901693,1.13881870901693,1.05225518208514,0.379585315013523,0.339336875473913,"Mixed","1.50","Single","Prostrate","Low","",8,"Gulf of Alaska","Cold Temperate Northeast Pacific","Temperate Northern Pacific"
"Agarum cribosum, Saccharina latissima",1376,"Dean et al. (2000)","","Prince William Sound, south central Alaska",60.5,-147.5,"OA","1 month, 1990",1.381443299,1.670103093,3.360824742,3.958762887,1.98,2.29,"SE","Gunners fish density (Nº ind./100m2) . Geometric mean and standard error.",6,6,"30*2*8","60","Fish density spatial comparison between 2 sited with different kelp densities.","Fig. 3. Comparison of geometric mean fish density between sites",NA,NA,NA,NA,"Observational","Spatial","yes","no","no","no","na","Transect","Fish density (Nº ind./100m^2)",60.5,-147.5,"Both",60,720,"na","na","na","na","na","na","na","na","Pholis laeta","Perciformes","Pholidae","3,3","Carnivore","25","na","Demersal",4.84998969071069,5.60933151097348,-0.114410351245838,-0.114410351245838,1.42682805102479,-0.0507987784500433,0.333440854828834,"Mixed","1.50","Single","Prostrate","Low","",8,"Gulf of Alaska","Cold Temperate Northeast Pacific","Temperate Northern Pacific"
"Agarum cribosum, Saccharina latissima",1377,"Dean et al. (2000)","","Prince William Sound, south central Alaska",60.5,-147.5,"OA","1 month, 1990",3.316326531,0.280612245,7.933673469,0.994897959,4.62,0.71,"SE","Ronquils fish density (Nº ind./100m2) . Geometric mean and standard error.",6,6,"30*2*9","60","Fish density spatial comparison between 2 sited with different kelp densities.","Fig. 3. Comparison of geometric mean fish density between sites",NA,NA,NA,NA,"Observational","Spatial","yes","no","no","no","na","Transect","Fish density (Nº ind./100m^2)",60.5,-147.5,"Both",60,720,"na","na","na","na","na","na","na","na","Ronquilus jordani","Perciformes","Bathymasteridae","3,1","Carnivore","20","na","Demersal",11.3166426116583,1.73913771737606,1.21506642048459,1.21506642048459,1.4530430894067,0.345996289044749,0.338321393001364,"Mixed","1.50","Single","Prostrate","Low","",8,"Gulf of Alaska","Cold Temperate Northeast Pacific","Temperate Northern Pacific"
"Agarum cribosum, Saccharina latissima",1378,"Dean et al. (2000)","","Prince William Sound, south central Alaska",60.5,-147.5,"OA","1 month, 1990",0.498800959,0.399040767,1.09352518,0.798081535,0.59,0.4,"SE","Others fish density (Nº ind./100m2) . Geometric mean and standard error.",6,6,"30*2*10","60","Fish density spatial comparison between 2 sited with different kelp densities.","Fig. 3. Comparison of geometric mean fish density between sites",NA,NA,NA,NA,"Observational","Spatial","yes","no","no","no","na","Transect","Fish density (Nº ind./100m^2)",60.5,-147.5,"Both",60,720,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","Demersal",1.44519894824207,0.979795897113271,0.0688785924235489,0.0688785924235489,0.236703379993239,0.0745596804929891,0.333564964414801,"Mixed","1.50","Single","Prostrate","Low","",8,"Gulf of Alaska","Cold Temperate Northeast Pacific","Temperate Northern Pacific"
"Carpophyllum flexuosum, Ecklonia radiata",1157,"Cole et al. (2012)","36","Port Hardy",-40.7,173.95,"OA","6 month July 2002-January 2003",1.16,8.71,2.16,14.1,1,5.39,"SE","Number of visits by Parapercis colias",5,5,"","1","Relationships between fishes and habitat variables (cleared and uncleared)","Fig. 5c",10,183,10,"experiment","Experimental","Temporal","yes","no","no","no","kelp","Quadrat","Number of visits by Parapercis colias",-40.7,173.95,"Adult",1,5,"0","1,16","0","1,76","0","0,6","SE","07-01-02","Parapercis colias","Perciformes","Pinguipedidae","3,87","Carnivore","45","2500","Demersal",2.23606797749979,12.0524063987239,-1.50304806060716,-1.50304806060716,0.52246831402966,-0.786293310656762,0.430912858519179,"Mixed","1","Single","Erect","Medium ",NA,15,"Central New Zealand","Southern New Zealand","Temperate Australasia"
"Carpophyllum flexuosum, Ecklonia radiata",1160,"Cole et al. (2012)","36","Port Hardy",-40.7,173.95,"OA","6 month July 2002-January 2003",54.75,42.85,63.43,51.9,8.68,9.05,"SE","Number of visits by number of individuals",5,5,"","1","Relationships between fishes and habitat variables (cleared and uncleared)","Fig. 5d",10,183,10,"experiment","Experimental","Temporal","no","yes","no","no","kelp","Quadrat","Number of visits by number of individuals",-40.7,173.95,"Adult",1,5,"23,26","26,11","29,09","32,69","5,83","6,58","SE","07-01-02",NA,NA,NA,NA,NA,NA,NA,NA,19.4090700446982,20.2364151963731,0.240102691522036,0.240102691522036,0.0668358892804617,0.541793410951013,0.414677005007497,"Mixed","1","Single","Erect","Medium ",NA,15,"Central New Zealand","Southern New Zealand","Temperate Australasia"
