"Kelp.Taxon","X","Authors..Year.","ID","Site","Lat","Long","Management_.OA_MPA_MEARB_Other.","Temporal_Scale","Mean.kelp","Mean.no.Kelp","Mean...one.error.bar.Kelp","Mean...one.error.bar.no.Kelp","Error.Kelp","Error.no.Kelp","Error.Type","Variable","N..Kelp.","N..no.kelp.","Unit.Dimensions","Area..m2.","Notes.on.Type.of.study","Comments","Clearing.Size..m.2.","Time.Until.Resampling..days.","Mean.Depth..m.","Inferred.Mechanism.of.Clearing..experiment_storm_heat.wave_barren_kelp.addition.","Type.of.Study..Experimental_ObservatioNAl.","Observational.Study.Type..Spatial..Temporal.","Single.Species...yes.no.","Total.Abundance...yes.no.","Species.Richness...yes.no.","Biomass...yes.no.","Clearing.Response..algae_barren_kelp.","Survey.Type..quadrat..transect..video..photo..Net.Trap.","Short.Variable.Description","Latititude.in.Decimal.Degrees","Longitude.in.Decimal.Degrees","Juvenile..Adult..Both","sample.unit.area..m.2.","Total.Area.Sampled.per.Treatment..m.2..n.replicate.area.","Mean.kelp.t0","Mean.no.Kelp.t0","Mean...one.error.bar.Kelp.t0","Mean...one.error.bar.no.Kelp.t0","Error.Kelp.t0","Error.no.Kelp.t0","Error.Type.t0","Date.of.t0..dd.mm.yyyy.","Fish.Species","Order","Family","Trophic.level","Trophic.group","Total.Lenght..cm.","Biomass..gr.","Habitat.Association..Benthic.Pelagic.Demersal.","sd_kelp","sd_nokelp","rawLR","LR","VLR","Hedges.G","VHedges.G","Patch","Height..m.","Single.or.Multi.Stipe","Erect.or.Prostrate","Epibiont.Load.Potential","Comment","len","ECOREGION","PROVINCE","REALM"
"Carpophyllum flexuosum, Ecklonia radiata",1161,"Cole et al. (2012)","36","Port Hardy",-40.7,173.95,"OA","1 month July 2002-August 2002",2.08,2.29,2.28,2.6,0.2,0.31,"SE","Number of visits by number of species",5,5,"","1","Relationships between fishes and habitat variables (cleared and uncleared)","Fig. 5e",10,30,10,"experiment","Experimental","Temporal","no","no","yes","no","kelp","Quadrat","Species Richness",-40.7,173.95,"Adult",1,5,"1,38","1,59","1,6","1,84","0,22","0,25","SE","07-01-02",NA,NA,NA,NA,NA,NA,NA,NA,0.447213595499958,0.693181073024935,-0.0659579677917974,-0.0659579677917974,0.0130948989632181,-0.324986465147907,0.405280810126467,"Mixed","1","Single","Erect","Medium ",NA,15,"Central New Zealand","Southern New Zealand","Temperate Australasia"
"Carpophyllum flexuosum, Ecklonia radiata",1163,"Cole et al. (2012)","36","Port Hardy",-40.7,173.95,"OA","6 month July 2002-January 2003",2,3.24,2.41,4.5,0.41,1.26,"SE","Number of visits by number of species",5,5,"","1","Relationships between fishes and habitat variables (cleared and uncleared)","Fig. 5e",10,183,10,"experiment","Experimental","Temporal","no","no","yes","no","kelp","Quadrat","Species Richness",-40.7,173.95,"Adult",1,5,"1,38","1,59","1,6","1,84","0,22","0,25","SE","07-01-02",NA,NA,NA,NA,NA,NA,NA,NA,0.916787870774914,2.81744565164974,-0.345950980575757,-0.345950980575757,0.106987674538191,-0.53428326658595,0.414272930447688,"Mixed","1","Single","Erect","Medium ",NA,15,"Central New Zealand","Southern New Zealand","Temperate Australasia"
"Carpophyllum flexuosum, Ecklonia radiata",1162,"Cole et al. (2012)","36","Port Hardy",-40.7,173.95,"OA","3 month July 2002-October 2002",2.6,3,2.82,3.3,0.22,0.3,"SE","Number of visits by number of species",5,5,"","1","Relationships between fishes and habitat variables (cleared and uncleared)","Fig. 5e",10,90,10,"experiment","Experimental","Temporal","no","no","yes","no","kelp","Quadrat","Species Richness",-40.7,173.95,"Adult",1,5,"1,38","1,59","1,6","1,84","0,22","0,25","SE","07-01-02",NA,NA,NA,NA,NA,NA,NA,NA,0.491934955049954,0.670820393249937,-0.105360515657826,-0.105360515657826,0.00935956790123457,-0.613856682876689,0.418841001355619,"Mixed","1","Single","Erect","Medium ",NA,15,"Central New Zealand","Southern New Zealand","Temperate Australasia"
"Carpophyllum flexuosum, Ecklonia radiata",27,"Cole et al. (2012)","36","Bay of plenty",-38,177,"OA",NA,4.19,4.36,4.37,5.02,0.36,1.32,"SD","Number of species",246,5,"4*30 m","120","ObservatioNAl","Fig. 4A",NA,NA,12,"barren","Observational","Spatial","no","no","yes","no","no","transect","Species Richness",-38,177,"Both",120,960,NA,NA,NA,NA,NA,NA,NA,"02-01-02",NA,NA,NA,NA,NA,NA,NA,NA,0.36,1.32,-0.0322302779049135,-0.0322302779049134,0.0121492087397148,-0.429793970896186,0.204433014469966,"Mixed","1","Single","Erect","Medium ",NA,5,"Northeastern New Zealand","Northern New Zealand","Temperate Australasia"
"Carpophyllum flexuosum, Ecklonia radiata",33,"Cole et al. (2012)","36","Port Hardy (Western Cook Strait)",-41,173,"OA",NA,3.11,2.34,3.28,2.42,0.34,0.16,"SD","Species Richness",110,144,"4*30 m","120","ObservatioNAl","Fig. 4B",NA,NA,12,"barren","Observational","Spatial","no","no","yes","no","no","transect","Species Richness",-41,173,"Both",120,960,NA,NA,NA,NA,NA,NA,NA,"02-01-01",NA,NA,NA,NA,NA,NA,NA,NA,0.34,0.16,0.207452221519534,0.207452221519534,7.8149243206298e-05,3.0221688656532,0.0340146934025259,"Mixed","1","Single","Erect","Medium ",NA,6,"Central New Zealand","Southern New Zealand","Temperate Australasia"
"Ecklonia radiata",9,"Anderson and Millar (2004)","1","Bergham",-34.91666667,-174.5333333,"OA","2 Years",10.48,11.71,11.62,12.85,1.14,1.14,"SE","Mean Fish Species Richness Year 1",10,10,"5x25 m","125","Ecklonia radiata vs Urchin Barrens (Evechinus chloroticus)","Sampling was conducted outside Marine Reserves Figures 5 a and b",NA,NA,10,NA,"Observational","Spatial","no","no","yes","no","no","transect","Species Richness",-34.91666667,-174.5333333,"Both",125,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.60499653259195,3.60499653259195,-0.101782694309942,-0.101782694309942,0.0179059748504386,-0.326742368429485,0.202669014383173,"Single","1","Single","Erect","Low",NA,16,NA,NA,NA
"Ecklonia radiata",10,"Anderson and Millar (2004)","1","Home",-34.91666667,-174.5333333,"OA","2 Years",14.79,14.25,15.65,15.96,0.86,1.71,"SE","Mean Fish Species Richness Year 1",10,10,"5x25 m","125","Ecklonia radiata vs Urchin Barrens (Evechinus chloroticus)","Sampling was conducted outside Marine Reserves Figures 5 a and b",NA,NA,10,NA,"Observational","Spatial","no","no","yes","no","no","transect","Species Richness",-34.91666667,-174.5333333,"Both",125,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.71955878774481,5.40749479888793,0.03479732521413,0.03479732521413,0.0155398142620054,0.12082421941515,0.200364962299932,"Single","1","Single","Erect","Low",NA,16,NA,NA,NA
"Ecklonia radiata",11,"Anderson and Millar (2004)","1","Leigh",-34.91666667,-174.5333333,"OA","2 Years",9.97,7.42,10.36,8.08,0.39,0.66,"SE","Mean Fish Species Richness Year 1",10,10,"5x25 m","125","Ecklonia radiata vs Urchin Barrens (Evechinus chloroticus)","Sampling was conducted outside Marine Reserves Figures 5 a and b",NA,NA,10,NA,"Observational","Spatial","no","no","yes","no","no","transect","Species Richness",-34.91666667,-174.5333333,"Both",125,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23328828746567,2.08710325571113,0.264554446032904,0.264554446032904,0.00740808601706192,1.4245658382866,0.25073469569033,"Single","1","Single","Erect","Low",NA,16,NA,NA,NA
"Ecklonia radiata",12,"Anderson and Millar (2004)","1","Hahei",-34.91666667,-174.5333333,"OA","2 Years",8.71,12.3,10.32,14.05,1.61,1.75,"SE","Mean Fish Species Richness Year 1",10,10,"5x25 m","125","Ecklonia radiata vs Urchin Barrens (Evechinus chloroticus)","Sampling was conducted outside Marine Reserves Figures 5 a and b",NA,NA,10,NA,"Observational","Spatial","no","no","yes","no","no","transect","Species Richness",-34.91666667,-174.5333333,"Both",125,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.09126703287109,5.53398590529466,-0.314607752924475,-0.314607752924474,0.0448054597914552,-0.646567237704278,0.210451229821814,"Single","1","Single","Erect","Low",NA,16,NA,NA,NA
"Ecklonia radiata",13,"Anderson and Millar (2004)","1","Bergham",-34.91666667,-174.5333333,"OA","2 Years",13.59,11.55,14.96,12.31,1.37,0.76,"SE","Mean Fish Species Richness Year 2",10,10,"5x25 m","125","Ecklonia radiata vs Urchin Barrens (Evechinus chloroticus)","Sampling was conducted outside Marine Reserves Figures 5 a and b",NA,NA,10,NA,"Observational","Spatial","no","no","yes","no","no","transect","Species Richness",-34.91666667,-174.5333333,"Both",125,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.33232039443068,2.40333102172797,0.150615696956901,0.150615696956901,0.0124844405052639,0.557659159308519,0.207774593449017,"Single","1","Single","Erect","Low",NA,16,NA,NA,NA
