"Kelp.Taxon","X","Authors..Year.","ID","Site","Lat","Long","Management_.OA_MPA_MEARB_Other.","Temporal_Scale","Mean.kelp","Mean.no.Kelp","Mean...one.error.bar.Kelp","Mean...one.error.bar.no.Kelp","Error.Kelp","Error.no.Kelp","Error.Type","Variable","N..Kelp.","N..no.kelp.","Unit.Dimensions","Area..m2.","Notes.on.Type.of.study","Comments","Clearing.Size..m.2.","Time.Until.Resampling..days.","Mean.Depth..m.","Inferred.Mechanism.of.Clearing..experiment_storm_heat.wave_barren_kelp.addition.","Type.of.Study..Experimental_ObservatioNAl.","Observational.Study.Type..Spatial..Temporal.","Single.Species...yes.no.","Total.Abundance...yes.no.","Species.Richness...yes.no.","Biomass...yes.no.","Clearing.Response..algae_barren_kelp.","Survey.Type..quadrat..transect..video..photo..Net.Trap.","Short.Variable.Description","Latititude.in.Decimal.Degrees","Longitude.in.Decimal.Degrees","Juvenile..Adult..Both","sample.unit.area..m.2.","Total.Area.Sampled.per.Treatment..m.2..n.replicate.area.","Mean.kelp.t0","Mean.no.Kelp.t0","Mean...one.error.bar.Kelp.t0","Mean...one.error.bar.no.Kelp.t0","Error.Kelp.t0","Error.no.Kelp.t0","Error.Type.t0","Date.of.t0..dd.mm.yyyy.","Fish.Species","Order","Family","Trophic.level","Trophic.group","Total.Lenght..cm.","Biomass..gr.","Habitat.Association..Benthic.Pelagic.Demersal.","sd_kelp","sd_nokelp","rawLR","LR","VLR","Hedges.G","VHedges.G","Patch","Height..m.","Single.or.Multi.Stipe","Erect.or.Prostrate","Epibiont.Load.Potential","Comment","len","ECOREGION","PROVINCE","REALM"
"Carpophyllum flexuosum, Ecklonia radiata",1160,"Cole et al. (2012)","36","Port Hardy",-40.7,173.95,"OA","6 month July 2002-January 2003",54.75,42.85,63.43,51.9,8.68,9.05,"SE","Number of visits by number of individuals",5,5,"","1","Relationships between fishes and habitat variables (cleared and uncleared)","Fig. 5d",10,183,10,"experiment","Experimental","Temporal","no","yes","no","no","kelp","Quadrat","Number of visits by number of individuals",-40.7,173.95,"Adult",1,5,"23,26","26,11","29,09","32,69","5,83","6,58","SE","07-01-02",NA,NA,NA,NA,NA,NA,NA,NA,19.4090700446982,20.2364151963731,0.240102691522036,0.240102691522036,0.0668358892804617,0.541793410951013,0.414677005007497,"Mixed","1","Single","Erect","Medium ",NA,15,"Central New Zealand","Southern New Zealand","Temperate Australasia"
"Carpophyllum flexuosum, Ecklonia radiata",1159,"Cole et al. (2012)","36","Port Hardy",-40.7,173.95,"OA","3 month July 2002-October 2002",27.73,32.19,31.45,35.54,3.72,3.35,"SE","Number of visits by number of individuals",5,5,"","1","Relationships between fishes and habitat variables (cleared and uncleared)","Fig. 5d",10,90,10,"experiment","Experimental","Temporal","no","yes","no","no","kelp","Quadrat","Number of visits by number of individuals",-40.7,173.95,"Adult",1,5,"23,26","26,11","29,09","32,69","5,83","6,58","SE","07-01-02",NA,NA,NA,NA,NA,NA,NA,NA,8.31817287629922,7.4908277246243,-0.144306752740685,-0.144306752740685,0.0269531029798411,-0.508641239516817,0.41293579552686,"Mixed","1","Single","Erect","Medium ",NA,15,"Central New Zealand","Southern New Zealand","Temperate Australasia"
"Carpophyllum flexuosum, Ecklonia radiata",1158,"Cole et al. (2012)","36","Port Hardy",-40.7,173.95,"OA","1 month July 2002-August 2002",39.38,53.51,42.85,63.31,3.47,9.8,"SE","Number of visits by number of individuals",5,5,"","1","Relationships between fishes and habitat variables (cleared and uncleared)","Fig. 5d",10,30,10,"experiment","Experimental","Temporal","no","yes","no","no","kelp","Quadrat","Number of visits by number of individuals",-40.7,173.95,"Adult",1,5,"23,26","26,11","29,09","32,69","5,83","6,58","SE","07-01-02",NA,NA,NA,NA,NA,NA,NA,NA,7.75915588192427,21.9134661794979,-0.300049558191498,-0.300049558191498,0.0397067050587405,-0.775966062760919,0.430106166527834,"Mixed","1","Single","Erect","Medium ",NA,15,"Central New Zealand","Southern New Zealand","Temperate Australasia"
"Carpophyllum flexuosum, Ecklonia radiata",895,"Choat and Ayling (1987)","4","Sites (1-4 domiNAted by kelp) 5-8 domiNAted by barrens",-35.063,174.138,"OA","1 month of summer 1982",3.068,7.11,3.77,8.326666667,1.216666667,1.216666667,"SE","Reef fish > 150 mm SL",20,20,"Visual Census","500","Carpophyllum flexuosum and Ecklonia radiata vs coralline flat and echinoid-domiNAted reef","Response on Adult Fishes ",NA,NA,NA,NA,"Observational","Spatial","no","yes","no","no","no","Transect","Adult Fish assemblage ",-35.063,174.138,"Adult",500,2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4410987467402,5.4410987467402,-0.689946389941008,-0.689946389941008,0.111956368808907,-0.728089385951087,0.106626426924183,"Mixed","1","Single","Erect","Medium ",NA,2,"Northeastern New Zealand","Northern New Zealand","Temperate Australasia"
"Carpophyllum flexuosum, Ecklonia radiata",894,"Choat and Ayling (1987)","4","Sites (1-4 domiNAted by kelp) 5-8 domiNAted by barrens",-35.063,174.138,"OA","1 month of summer 1982",90.676,10.94333333,103.948,14.44333333,3.5,3.5,"SE","Reef fish <50 mm SL",20,20,"Visual Census","500","Carpophyllum flexuosum and Ecklonia radiata vs coralline flat and echinoid-domiNAted reef","Response on Juvenile Fishes ",NA,NA,NA,NA,"Observational","Spatial","no","yes","no","no","no","Transect","Juvenile Fish assemblage ",-35.063,174.138,"Juvenile",500,2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6524758424985,15.6524758424985,2.0380873796275,2.0380873796275,0.0873361595809952,4.99261693672306,0.411577798460675,"Mixed","1","Single","Erect","Medium ",NA,2,"Northeastern New Zealand","Northern New Zealand","Temperate Australasia"
"Ecklonia radiata",1,"Anderson and Millar (2004)","1","Bergham",-34.91666667,-174.5333333,"OA","2 Years",184.78,228.67,231.35,302.65,46.57,73.98,"SE","Mean Fish Abundance Year 1",10,10,"5x25 m","125","Ecklonia radiata vs Urchin Barrens (Evechinus chloroticus)","Sampling was conducted outside Marine Reserves Figures 5 a and b",NA,NA,10,NA,"Observational","Spatial","no","yes","no","no","no","transect","Fish abundance",-34.91666667,-174.5333333,"Both",125,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147.267270634041,233.945301299257,-0.212080318068948,-0.212080318068949,0.166594518854375,-0.215024421104995,0.201155887541788,"Single","1","Single","Erect","Low",NA,16,NA,NA,NA
"Ecklonia radiata",2,"Anderson and Millar (2004)","1","Home",-34.91666667,-174.5333333,"OA","2 Years",246.25,332.6,280.5,403.85,34.25,71.25,"SE","Mean Fish Abundance Year 1",10,10,"5x25 m","125","Ecklonia radiata vs Urchin Barrens (Evechinus chloroticus)","Sampling was conducted outside Marine Reserves Figures 5 a and b",NA,NA,10,NA,"Observational","Spatial","no","yes","no","no","no","transect","Fish abundance",-34.91666667,-174.5333333,"Both",125,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.308009860767,225.312283286997,-0.29954269998177,-0.29954269998177,0.0648048800950352,-0.467794975629808,0.205470803480612,"Single","1","Single","Erect","Low",NA,16,NA,NA,NA
"Ecklonia radiata",3,"Anderson and Millar (2004)","1","Leigh",-34.91666667,-174.5333333,"OA","2 Years",51.55,70.78,57.02,98.19,5.47,27.41,"SE","Mean Fish Abundance Year 1",10,10,"5x25 m","125","Ecklonia radiata vs Urchin Barrens (Evechinus chloroticus)","Sampling was conducted outside Marine Reserves Figures 5 a and b",NA,NA,10,NA,"Observational","Spatial","no","yes","no","no","no","transect","Fish abundance",-34.91666667,-174.5333333,"Both",125,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.297658801121,86.6780306652153,-0.311840788396501,-0.311840788396501,0.156653016057494,-0.294652612824387,0.202170504056106,"Single","1","Single","Erect","Low",NA,16,NA,NA,NA
"Ecklonia radiata",4,"Anderson and Millar (2004)","1","Hahei",-34.91666667,-174.5333333,"OA","2 Years",159.59,110.35,244.52,135,84.93,24.65,"SE","Mean Fish Abundance Year 1",10,10,"5x25 m","125","Ecklonia radiata vs Urchin Barrens (Evechinus chloroticus)","Sampling was conducted outside Marine Reserves Figures 5 a and b",NA,NA,10,NA,"Observational","Spatial","no","yes","no","no","no","transect","Fish abundance",-34.91666667,-174.5333333,"Both",125,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268.572241678101,77.9501443231506,0.366176139370022,0.366176139370023,0.328701821875817,0.238459517338696,0.201421573535235,"Single","1","Single","Erect","Low",NA,16,NA,NA,NA
"Ecklonia radiata",5,"Anderson and Millar (2004)","1","Bergham",-34.91666667,-174.5333333,"OA","2 Years",453.87,274.47,544.29,410.09,90.42,135.62,"SE","Mean Fish Abundance Year 2",10,10,"5x25 m","125","Ecklonia radiata vs Urchin Barrens (Evechinus chloroticus)","Sampling was conducted outside Marine Reserves Figures 5 a and b",NA,NA,10,NA,"Observational","Spatial","no","yes","no","no","no","transect","Fish abundance",-34.91666667,-174.5333333,"Both",125,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,285.933146032425,428.868096272036,0.501532934099388,0.501532934099389,0.281895472554583,0.471366391885159,0.205554656884971,"Single","1","Single","Erect","Low",NA,16,NA,NA,NA
